LineOID,temperature-0,temperature-1,temperature-2,temperature-3,temperature-4,temperature-5,temperature-6,temperature-7,temperature-8,temperature-9,temperature-10,temperature-11,temperature-12,temperature-13,temperature-14,temperature-15,temperature-16,temperature-17,temperature-18,temperature-19,temperature-20,temperature-21,temperature-22,temperature-23,temperature-24,temperature-25,temperature-26,temperature-27,temperature-28,temperature-29,temperature-30,temperature-31,temperature-32,temperature-33,temperature-34,temperature-35,temperature-36,temperature-37,temperature-38,temperature-39,temperature-40,temperature-41,temperature-42,temperature-43,temperature-44,temperature-45
1,-0.5,-0.129245,0.224794,0.6171260000000001,0.796072,1.201231,1.6671939999999998,2.010103,2.408575,2.723927,3.3155989999999997,3.993007,4.177589,4.465568,5.365926,6.270097,7.740735000000001,7.220446000000001,7.214198,9.499019,9.952478,9.169547999999999,11.15431,12.183402000000001,12.400227000000001,13.235460999999999,13.20491,13.336788,13.1844,12.318189,11.881532,10.600358,9.652974,7.838139,2.945185,4.207521,4.906085,5.407342,4.062437,3.464882,2.8059060000000002,3.174826,2.7848919999999997,2.26388,1.9231209999999999,1.325675
2,-0.352049,0.051370000000000006,0.398767,0.76122,0.9148860000000001,1.306542,1.7242119999999999,2.10825,2.498361,2.838469,3.520068,4.411462,4.652871,4.945213,6.030476999999999,6.993658,9.027695,7.628111,7.841642,10.389408,10.800099000000001,9.340712,12.03929,13.284065,13.470359,14.58961,14.337845000000002,14.307595999999998,14.030801,12.992784,12.761596,11.416113000000001,10.137871,8.617776,2.999792,4.789413,5.459026000000001,5.820564,4.461808,3.769922,2.926409,3.447435,2.4777880000000003,2.365006,1.988302,1.472016
3,-0.215304,0.405184,0.449917,0.8782409999999999,1.008139,1.35405,1.8863860000000001,2.207976,2.575581,2.885822,3.3413019999999998,3.9004260000000004,4.14343,4.609323000000001,5.509696,6.451356,7.310241,6.988884,7.282265,9.274439,10.021189999999999,8.947106,11.320734,12.152242,12.410169999999999,13.389032,13.17994,13.356879000000001,13.334003,12.431864,12.038508,10.839166,9.696382,8.181030999999999,3.073173,4.343197,5.088381,5.349928,4.060033,3.53325,2.9657400000000003,3.2118450000000003,1.9402830000000002,2.412468,2.1239939999999997,1.559609
4,-0.127965,0.539126,0.549595,0.9092680000000001,1.08124,1.394543,1.916119,2.2653380000000003,2.5983009999999997,2.972236,3.5271230000000005,4.3607830000000005,4.4043410000000005,4.820052,5.929787,7.077864999999999,8.251077,7.506106,7.838657,10.422512,10.592073,9.341731,12.174501,13.200248,13.694020000000002,13.934693,13.610702999999999,13.753475,14.013532999999999,13.217325,12.953625,11.610479,10.16514,8.823694,3.8561300000000003,5.2080720000000005,5.750273,6.0264489999999995,5.04053,4.028802,3.4262599999999996,3.677086,2.8286599999999997,2.818141,2.499503,1.924626
5,0.025473,0.791508,0.8288129999999999,0.982533,1.258835,1.593725,2.108646,2.435882,2.793908,3.149995,3.701086,4.657133,4.812339,5.185487999999999,6.635834,7.471639,9.163293,8.13677,8.276192,10.727694,11.470191999999999,10.361808,13.170572,13.760195999999999,14.232895999999998,14.644718,14.312812,14.583302999999999,14.824845000000002,13.911328,13.774220999999999,12.273556,10.753496,9.486131,4.408412,5.902865,6.567507000000001,6.491455,5.752075,5.11405,3.971115,4.460067,4.451116000000001,3.355926,3.10869,2.54955
6,0.127469,0.868561,1.002646,1.0888870000000002,1.314042,1.606746,2.117301,2.444197,2.8208830000000003,3.367124,3.9110169999999997,4.850693,5.013107,5.290138,7.017060000000001,7.854493,9.24876,8.299941,8.610046,10.997448,11.448874,10.239492,13.143835000000001,13.642732,14.103666,14.604559,14.323020999999999,14.491934,14.861223999999998,13.948685000000001,13.758999,12.270763,10.758248,9.341258,4.562714,6.200203,6.647921000000001,6.481102,5.808484,5.219084,4.044986,4.4515709999999995,4.636931,3.379861,3.172575,2.540604
7,0.115774,0.9219040000000001,1.079382,1.156191,1.306222,1.622794,2.083743,2.450371,2.876452,3.696424,4.381101,5.58234,5.601444,5.42325,7.897410000000001,8.527617,9.8386,9.34073,8.963080999999999,11.672808,12.077753,10.548331,13.430282,13.89185,14.31466,14.828101,14.557312,14.600891,15.106420000000002,14.275826,14.056125,12.596857,11.07024,9.576994000000001,5.25676,6.690930000000001,6.943,6.789692,6.0567720000000005,5.53993,4.179432,4.699357,4.616397,3.597549,3.333885,2.672786
8,0.09814099999999999,0.80785,1.0580379999999998,1.152558,1.310179,1.645892,2.1059189999999997,2.480284,2.904648,3.7854400000000004,4.462937,5.940025,5.784586,5.531102,7.887835000000001,8.664438,9.803806,9.300649,8.853819,11.469871000000001,11.541689,10.030571,13.3543,13.785739999999999,14.030884,14.935149,14.781595999999999,14.934520000000001,14.931773000000002,14.185711999999999,13.737434,12.540106,11.014786,9.465205000000001,5.071827,6.445062999999999,6.701280000000001,6.544401000000001,5.67966,5.442712,4.452194,4.702591,5.1963870000000005,3.7775529999999997,3.146835,2.42635
9,0.11571400000000001,0.889484,1.054618,1.146025,1.3394540000000001,1.6750630000000002,2.142531,2.522169,2.928814,3.737451,4.45523,5.735939,5.669907,5.534967,7.633951,8.605457000000001,9.723508,9.183826,8.877711999999999,11.496502,11.968681,10.088889,13.485814999999999,14.032014000000002,14.455959,14.981623,14.709138000000001,14.890602,15.169820000000001,14.408160999999998,13.968917000000001,12.839785000000001,11.263855,9.731933,5.524321,6.883721,7.147081,6.9483809999999995,6.337472,5.731054,4.644113,4.471205,5.00577,4.133214,3.514343,2.847422
10,0.091098,0.88476,1.010291,1.121738,1.321277,1.703701,2.137304,2.534969,2.98457,3.9097809999999997,4.473243,5.92591,5.677928,5.908837,8.020619,8.792844,9.837366000000001,9.302947,8.911569,11.351214,12.210078,9.578164,13.661894,14.064789999999999,14.499270000000001,15.174095999999999,14.823639000000002,15.081163,15.231612,14.496217999999999,14.128862,13.036647,11.399725,9.77303,5.876234999999999,7.012714,7.272821,7.124161,6.37991,5.855036,4.780532,4.9277169999999995,5.178612,4.280962000000001,3.677199,2.968575
